Country,Country Code,Year,Currency,budget_deficit,budget_deficitsurplus,budget_surplus,capital_expenditure,consumer_price_index_cpi,defence_expenditure,education_expenditure,expenditure,exports,food_inflation_yoy,gdp_growth_rate,gdp_per_capita,government_debt,health_expenditure,imports,interest_rate,labour_force,nominal_gdp,population,real_gdp,revenue,tax_revenue,unemployment_rate,value_added_tax_vat
Algeria,DZA,2000,USD,,,,,,,,,21.7,,,,,,-9.35,,,,,,,,,
Algeria,DZA,2001,DZD,,,,,,,,,,,,,,,,,,4587607.0,,,,,,
Algeria,DZA,2001,USD,,,,,,,,,19.1,,,,,,-9.48,,,,,,,,,
Algeria,DZA,2002,DZD,,,,,,,,,,,,,,,,,,4901720.0,,,,,,
Algeria,DZA,2002,USD,,,,,,,,,18.7,,,,,,-12.01,,,,,,,,,
Algeria,DZA,2003,DZD,,,,,,,,,,,,,,,,,,5687158.0,,,,,,
Algeria,DZA,2003,USD,,,,,,,,,24.5,,,,,,-13.32,,,,,,,,,
Algeria,DZA,2004,DZD,,,,,,,,,,,,,,,,,,6623355.0,,,,,,
Algeria,DZA,2004,USD,,,,,,,,,32.2,,,,,,-17.95,,,,,,,,,
Algeria,DZA,2005,DZD,,,,,,,,,,,,,,,,,,7843981.0,,,,,,
Algeria,DZA,2005,USD,,,,,,,,,46.3,,,,,,-19.85,,,,,,,,,
Algeria,DZA,2006,DZD,,,,,,,,,,,,,,,,,,8941655.0,,,,,,
Algeria,DZA,2006,USD,,,,,,,,,54.7,,,,,,-20.68,,,,,,,,,
Algeria,DZA,2007,DZD,,,,,,,,,,,,,,,,,,9872971.0,,,,,,
Algeria,DZA,2007,USD,,,,,,,,,60.6,,,,,,-26.35,,,,,,,,,
